time,openBid,highBid,lowBid,closeBid
1530934200000,727972.0,728650.0,727307.0,727982.0
1530936000000,727982.0,728885.0,726331.0,728140.0
1530937800000,727886.0,727949.0,727215.0,727465.0
1530939600000,727529.0,728321.0,727460.0,728018.0
1530941400000,728034.0,728447.0,727575.0,727950.0
1530943200000,727950.0,727987.0,726038.0,727001.0
1530945000000,727001.0,727556.0,723851.0,726302.0
1530946800000,726302.0,727061.0,723381.0,726882.0
1530948600000,726882.0,727222.0,725784.0,727222.0
1530950400000,727222.0,727222.0,725356.0,726500.0
1530952200000,726500.0,726785.0,725939.0,725972.0
1530954000000,725972.0,726260.0,724595.0,725807.0
1530955800000,725807.0,727031.0,725741.0,726645.0
1530957600000,726645.0,727000.0,725655.0,726760.0
1530959400000,726760.0,727549.0,726339.0,727000.0
1530961200000,727000.0,727490.0,726001.0,726222.0
1530963000000,726222.0,727082.0,726222.0,726812.0
1530964800000,726813.0,729291.0,724402.0,725100.0
1530966600000,725300.0,725307.0,722810.0,724685.0
1530968400000,724686.0,724771.0,720186.0,722800.0
1530970200000,722800.0,723301.0,721510.0,721864.0
1530972000000,721864.0,726841.0,721229.0,724509.0
1530973800000,724510.0,725820.0,723712.0,724886.0
1530975600000,724886.0,725101.0,723143.0,723309.0
1530977400000,723309.0,724888.0,722658.0,724479.0
1530979200000,724449.0,725301.0,723359.0,723805.0
1530981000000,723891.0,724674.0,723872.0,724232.0
1530982800000,724233.0,724761.0,722661.0,723483.0
1530984600000,723483.0,723503.0,722104.0,722900.0
1530986400000,722901.0,722931.0,722201.0,722393.0
1530988200000,722393.0,724322.0,721002.0,723315.0
1530990000000,723319.0,724324.0,722469.0,723036.0
1530991800000,723080.0,723602.0,722420.0,722501.0
1530993600000,722501.0,722501.0,719424.0,720363.0
1530995400000,720134.0,721802.0,719196.0,720700.0
1530997200000,720576.0,722655.0,720426.0,721689.0
1530999000000,721695.0,722381.0,720544.0,721486.0
1531000800000,721486.0,721981.0,721090.0,721156.0
1531002600000,721156.0,725685.0,721057.0,725527.0
1531004400000,725433.0,740434.0,725398.0,740022.0
1531006200000,740023.0,743757.0,739531.0,741644.0
1531008000000,741514.0,744686.0,741501.0,741841.0
1531009800000,741842.0,743500.0,740131.0,742162.0
1531011600000,742162.0,742978.0,741176.0,741717.0
1531013400000,741701.0,743112.0,741403.0,741605.0
1531015200000,741605.0,741614.0,738501.0,738570.0
1531017000000,738570.0,741137.0,738570.0,740496.0
1531018800000,740537.0,741087.0,740093.0,740098.0
